               ************************************
               *****    GLOBAL ATTRIBUTES    ******
               ************************************

     TITLE                    ISTP WIND spin phase CDF
     PROJECT                  ISTP>International Solar-Terrestrial Physics
     DISCIPLINE               Space Physics
     SOURCE_NAME              WIND>Wind Interplanetary Plasma Laboratory
     DATA_VERSION             1
     DATA_TYPE                K0>Key Parameter
     DESCRIPTOR               SPHA>Spin Phase
     START_DATE               1995-10-10T00:03:10.190Z
     END_DATE                 1995-10-10T23:59:30.190Z
     ADID_REF                 NSSD0137
     LOGICAL_FILE_ID          WI_K0_SPHA_19951010_V01
     TEXT                     To be supplied
     MODS                     12/17/92 - Original Implementation, CCR 87
                              6/14/94 - CCR ISTP 1852, updated CDHF skeleton to CDF standards - JT
                              11/9/94 - Correct errors made in ccr 1852.  CCR 1884
     LOGICAL_SOURCE           WI_K0_SPHA
     LOGICAL_SOURCE_DESCR     Wind Spin Phase
     INSTRUMENT_TYPE          Ephemeris
     NSSDC_ID                 xxno-00354
     ALT_LOGICAL_SOURCE       Wind_Spin-Phase_Key-Parameters-K0_92sec_cdf
     MISSION_GROUP            Wind
                              !___Interplanetary Data near 1 AU

               ************************************
               ****  RECORD VARYING VARIABLES  ****
               ************************************

 1. Spin phase EPOCH time
 2. Spin phase angle
 3. Average spin rate
 4. Std dev of spin rate

EPOCH                        SP_ANGLE    AVG_SPN_RT    STDV_SPN_R
dd-mm-yyyy hh:mm:ss.ms            rad       rad/sec       rad/sec
03-04-1996 02:16:58.550       2.03350       1.98833   0.00000E+00
03-04-1996 02:17:44.550       5.53609       1.98833   0.00000E+00
03-04-1996 02:18:30.550       2.75591       1.98833   0.00000E+00
03-04-1996 02:19:16.550       6.25851       1.98833   0.00000E+00
03-04-1996 02:20:02.550       3.47836       1.98833   0.00000E+00
03-04-1996 02:20:48.550       0.69806       1.98833   0.00000E+00
03-04-1996 02:21:34.550       4.20078       1.98833   0.00000E+00
03-04-1996 02:22:20.550       1.42047       1.98833   0.00000E+00
03-04-1996 02:23:06.550       4.92319       1.98833   0.00000E+00
03-04-1996 02:23:52.550       2.14289       1.98833   0.00000E+00
03-04-1996 02:24:38.550       5.64564       1.98833   0.00000E+00
03-04-1996 02:25:24.550       2.86533       1.98833   0.00000E+00
03-04-1996 02:26:10.550       0.08516       1.98833   0.00000E+00
03-04-1996 02:26:56.550       3.58775       1.98833   0.00000E+00
03-04-1996 02:27:42.550       0.80760       1.98833   0.00000E+00
03-04-1996 02:28:28.550       4.31016       1.98833   0.00000E+00
03-04-1996 02:29:14.550       1.53002       1.98833   0.00000E+00
03-04-1996 02:30:00.550       5.03261       1.98833   0.00000E+00
03-04-1996 02:30:46.550       2.25243       1.98833   0.00000E+00
03-04-1996 02:31:32.550       5.75503       1.98833   0.00000E+00
03-04-1996 02:32:18.550       2.97488       1.98833   0.00000E+00
03-04-1996 02:33:04.550       0.19458       1.98833   0.00000E+00
03-04-1996 02:33:50.550       3.69729       1.98833   0.00000E+00
03-04-1996 02:34:36.550       0.91699       1.98833   0.00000E+00
03-04-1996 02:35:22.550       4.41974       1.98833   0.00000E+00
03-04-1996 02:36:08.550       1.63944       1.98833   0.00000E+00
03-04-1996 02:36:54.550       5.14215       1.98833   0.00000E+00
03-04-1996 02:37:40.550       2.36185       1.98833   0.00000E+00
03-04-1996 02:38:26.550       5.86457       1.98833   0.00000E+00
03-04-1996 02:39:12.550       3.08427       1.98833   0.00000E+00
03-04-1996 02:39:58.550       0.30412       1.98833   0.00000E+00
03-04-1996 02:40:44.550       3.80671       1.98833   0.00000E+00
03-04-1996 02:41:30.550       1.02654       1.98833   0.00000E+00
03-04-1996 02:42:16.550       4.52913       1.98833   0.00000E+00
03-04-1996 02:43:02.550       1.74898       1.98833   0.00000E+00
03-04-1996 02:43:48.550       5.25154       1.98833   0.00000E+00
03-04-1996 02:44:34.550       2.47140       1.98833   0.00000E+00
03-04-1996 02:45:20.550       5.97399       1.98833   0.00000E+00
03-04-1996 02:46:06.550       3.19381       1.98833   0.00000E+00
03-04-1996 02:46:52.550       0.41367       1.98833   0.00000E+00
03-04-1996 02:47:38.550       3.91626       1.98833   0.00000E+00
03-04-1996 02:48:24.550       1.13608       1.98833   0.00000E+00
03-04-1996 02:49:10.550       4.63867       1.98833   0.00000E+00
03-04-1996 02:49:56.550       1.85853       1.98833   0.00000E+00
03-04-1996 02:50:42.550       5.36109       1.98833   0.00000E+00
03-04-1996 02:51:28.550       2.58094       1.98833   0.00000E+00
03-04-1996 02:52:14.550       6.08353       1.98833   0.00000E+00
03-04-1996 02:53:00.550       3.30339       1.98833   0.00000E+00
03-04-1996 02:53:46.550       0.52321       1.98833   0.00000E+00
03-04-1996 02:54:32.550       4.02580       1.98833   0.00000E+00
03-04-1996 02:55:18.550       1.24566       1.98833   0.00000E+00
03-04-1996 02:56:04.550       4.74822       1.98833   0.00000E+00
03-04-1996 02:56:50.550       1.96807       1.98833   0.00000E+00
03-04-1996 02:57:36.550       5.47066       1.98833   0.00000E+00
03-04-1996 02:58:22.550       2.69049       1.98833   0.00000E+00
03-04-1996 02:59:08.550       6.19323       1.98833   0.00000E+00
03-04-1996 02:59:54.550       3.41293       1.98833   0.00000E+00
03-04-1996 03:00:40.550       0.63275       1.98833   0.00000E+00
03-04-1996 03:01:26.550       4.13535       1.98833   0.00000E+00
03-04-1996 03:02:12.550       1.35520       1.98833   0.00000E+00
03-04-1996 03:02:58.550       4.85792       1.98833   0.00000E+00
03-04-1996 03:03:44.550       2.07762       1.98833   0.00000E+00
03-04-1996 03:04:30.550       5.58036       1.98833   0.00000E+00
